上海全网通,#genre#
上海教育,https://shyd.695847.xyz/cms001/ch00000090990000001053/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
上海教育,https://shyd.695847.xyz/cms001/ch00000090990000001268/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
上海新闻综合,https://shyd.695847.xyz/cms001/ch00000090990000001006/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
上海新闻综合,https://shyd.695847.xyz/cms001/ch00000090990000001014/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
上海都市,https://shyd.695847.xyz/cms001/ch00000090990000001005/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
上海都市,https://shyd.695847.xyz/cms001/ch00000090990000001015/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
世界地理,https://shyd.695847.xyz/cms001/ch00000090990000001620/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001092/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001201/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001641/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方卫视,https://shyd.695847.xyz/cms001/ch00000090990000001008/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方卫视,https://shyd.695847.xyz/cms001/ch00000090990000001013/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方影视,https://shyd.695847.xyz/cms001/ch00000090990000001046/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方影视,https://shyd.695847.xyz/cms001/ch00000090990000001016/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方财经,https://shyd.695847.xyz/cms001/ch00000090990000001318/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方购物,https://shyd.695847.xyz/cms001/ch00000090990000001040/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方购物,https://shyd.695847.xyz/cms001/ch00000090990000001039/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方购物,https://shyd.695847.xyz/cms001/ch00000090990000001120/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方购物,https://shyd.695847.xyz/cms001/ch00000090990000001121/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
乐游,https://shyd.695847.xyz/cms001/ch00000090990000001200/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
乐游,https://shyd.695847.xyz/cms001/ch00000090990000001110/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
云南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001094/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
云南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001223/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
五星体育,https://shyd.695847.xyz/cms001/ch00000090990000001049/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
五星体育,https://shyd.695847.xyz/cms001/ch00000090990000001018/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
兵器科技,https://shyd.695847.xyz/cms001/ch00000090990000001610/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
兵团卫视,https://shyd.695847.xyz/cms001/ch00000090990000001066/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
内蒙古卫视,https://shyd.695847.xyz/cms001/ch00000090990000001068/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
内蒙古卫视,https://shyd.695847.xyz/cms001/ch00000090990000001530/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
动作电影,https://shyd.695847.xyz/cms001/ch00000090990000001580/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
动漫秀场,https://shyd.695847.xyz/cms001/ch00000090990000001108/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
动漫秀场,https://shyd.695847.xyz/cms001/ch00000090990000001196/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
北京卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001500/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
北京卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001510/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
北京卫视,https://shyd.695847.xyz/cms001/ch00000090990000001086/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
北京卫视,https://shyd.695847.xyz/cms001/ch00000090990000001029/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
卡酷少儿,https://shyd.695847.xyz/cms001/ch00000090990000001228/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
卡酷少儿,https://shyd.695847.xyz/cms001/ch00000090990000001245/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
吉林卫视,https://shyd.695847.xyz/cms001/ch00000090990000001077/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
吉林卫视,https://shyd.695847.xyz/cms001/ch00000090990000001225/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
哈哈炫动,https://shyd.695847.xyz/cms001/ch00000090990000001104/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
哈哈炫动,https://shyd.695847.xyz/cms001/ch00000090990000001232/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
嘉佳卡通,https://shyd.695847.xyz/cms001/ch00000090990000001227/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
四川卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001690/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
四川卫视,https://shyd.695847.xyz/cms001/ch00000090990000001091/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
四川卫视,https://shyd.695847.xyz/cms001/ch00000090990000001130/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
天津卫视,https://shyd.695847.xyz/cms001/ch00000090990000001079/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
天津卫视,https://shyd.695847.xyz/cms001/ch00000090990000001088/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
天津卫视,https://shyd.695847.xyz/cms001/ch00000090990000001036/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
央广购物,https://shyd.695847.xyz/cms001/ch00000090990000001142/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
央广购物,https://shyd.695847.xyz/cms001/ch00000090990000001420/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
央视台球,https://shyd.695847.xyz/cms001/ch00000090990000001600/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
央视文化精品,https://shyd.695847.xyz/cms001/ch00000090990000001670/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
女性时尚,https://shyd.695847.xyz/cms001/ch00000090990000001571/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
好享购物,https://shyd.695847.xyz/cms001/ch00000090990000001132/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
宁夏卫视,https://shyd.695847.xyz/cms001/ch00000090990000001074/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
安徽卫视,https://shyd.695847.xyz/cms001/ch00000090990000001085/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
安徽卫视,https://shyd.695847.xyz/cms001/ch00000090990000001037/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
家庭影院,https://shyd.695847.xyz/cms001/ch00000090990000001570/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
家庭理财,https://shyd.695847.xyz/cms001/ch00000090990000001278/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
山东卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001582/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
山东卫视,https://shyd.695847.xyz/cms001/ch00000090990000001093/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
山东卫视,https://shyd.695847.xyz/cms001/ch00000090990000001028/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
山西卫视,https://shyd.695847.xyz/cms001/ch00000090990000001070/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
广东卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001540/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
广东卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001550/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
广东卫视,https://shyd.695847.xyz/cms001/ch00000090990000001075/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
广东卫视,https://shyd.695847.xyz/cms001/ch00000090990000001032/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
广西卫视,https://shyd.695847.xyz/cms001/ch00000090990000001095/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
广西卫视,https://shyd.695847.xyz/cms001/ch00000090990000001224/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
延边卫视,https://shyd.695847.xyz/cms001/ch00000090990000001470/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
影迷电影,https://shyd.695847.xyz/cms001/ch00000090990000001581/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
快乐垂钓,https://shyd.695847.xyz/cms001/ch00000090990000001235/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
怀旧剧场,https://shyd.695847.xyz/cms001/ch00000090990000001640/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
打不开,https://shyd.695847.xyz/cms001/ch00000090990000001430/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
新疆卫视,https://shyd.695847.xyz/cms001/ch00000090990000001065/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
早期教育,https://shyd.695847.xyz/cms001/ch00000090990000001680/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
欢笑剧场4K,https://shyd.695847.xyz/cms001/ch00000090990000001490/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
欢笑剧场,https://shyd.695847.xyz/cms001/ch00000090990000001193/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
江苏卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001700/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
江苏卫视,https://shyd.695847.xyz/cms001/ch00000090990000001078/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
江苏卫视,https://shyd.695847.xyz/cms001/ch00000090990000001033/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
江西卫视,https://shyd.695847.xyz/cms001/ch00000090990000001080/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
江西卫视,https://shyd.695847.xyz/cms001/ch00000090990000001034/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
河北卫视,https://shyd.695847.xyz/cms001/ch00000090990000001081/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
河北卫视,https://shyd.695847.xyz/cms001/ch00000090990000001229/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
河南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001073/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
河南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001222/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
法治天地,https://shyd.695847.xyz/cms001/ch00000090990000001195/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
法治天地,https://shyd.695847.xyz/cms001/ch00000090990000001111/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
浙江卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001720/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
浙江卫视,https://shyd.695847.xyz/cms001/ch00000090990000001007/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
浙江卫视,https://shyd.695847.xyz/cms001/ch00000090990000001023/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
海南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001076/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
海南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001183/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
深圳卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001521/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
深圳卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001560/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
深圳卫视,https://shyd.695847.xyz/cms001/ch00000090990000001096/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
深圳卫视,https://shyd.695847.xyz/cms001/ch00000090990000001030/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
游戏风云,https://shyd.695847.xyz/cms001/ch00000090990000001114/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
游戏风云,https://shyd.695847.xyz/cms001/ch00000090990000001192/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
湖北卫视,https://shyd.695847.xyz/cms001/ch00000090990000001083/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
湖北卫视,https://shyd.695847.xyz/cms001/ch00000090990000001027/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
湖南卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001710/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
湖南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001026/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
甘肃卫视,https://shyd.695847.xyz/cms001/ch00000090990000001069/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
甘肃卫视,https://shyd.695847.xyz/cms001/ch00000090990000001298/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
生活时尚,https://shyd.695847.xyz/cms001/ch00000090990000001199/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
生活时尚,https://shyd.695847.xyz/cms001/ch00000090990000001117/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通1,https://shyd.695847.xyz/cms001/ch00000090990000001148/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通10,https://shyd.695847.xyz/cms001/ch00000090990000001359/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通11,https://shyd.695847.xyz/cms001/ch00000090990000001378/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通12,https://shyd.695847.xyz/cms001/ch00000090990000001398/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通2,https://shyd.695847.xyz/cms001/ch00000090990000001149/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通3,https://shyd.695847.xyz/cms001/ch00000090990000001150/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通4,https://shyd.695847.xyz/cms001/ch00000090990000001151/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通5,https://shyd.695847.xyz/cms001/ch00000090990000001152/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通6,https://shyd.695847.xyz/cms001/ch00000090990000001153/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通7,https://shyd.695847.xyz/cms001/ch00000090990000001154/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
百视通导视,https://shyd.695847.xyz/cms001/ch00000090990000001162/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
第一剧场,https://shyd.695847.xyz/cms001/ch00000090990000001621/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
第一财经,https://shyd.695847.xyz/cms001/ch00000090990000001048/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
第一财经,https://shyd.695847.xyz/cms001/ch00000090990000001017/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
茶频道,https://shyd.695847.xyz/cms001/ch00000090990000001234/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
西藏卫视,https://shyd.695847.xyz/cms001/ch00000090990000001072/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
财富天下,https://shyd.695847.xyz/cms001/ch00000090990000001219/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
贵州卫视,https://shyd.695847.xyz/cms001/ch00000090990000001071/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
贵州卫视,https://shyd.695847.xyz/cms001/ch00000090990000001184/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
辽宁卫视,https://shyd.695847.xyz/cms001/ch00000090990000001084/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
辽宁卫视,https://shyd.695847.xyz/cms001/ch00000090990000001035/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
都市剧场,https://shyd.695847.xyz/cms001/ch00000090990000001203/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
都市剧场,https://shyd.695847.xyz/cms001/ch00000090990000001107/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
重庆卫视,https://shyd.695847.xyz/cms001/ch00000090990000001087/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
重庆卫视,https://shyd.695847.xyz/cms001/ch00000090990000001129/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
金色学堂,https://shyd.695847.xyz/cms001/ch00000090990000001106/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
金色学堂,https://shyd.695847.xyz/cms001/ch00000090990000001194/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
金鹰卡通,https://shyd.695847.xyz/cms001/ch00000090990000001460/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
金鹰卡通,https://shyd.695847.xyz/cms001/ch00000090990000001098/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
金鹰纪实,https://shyd.695847.xyz/cms001/ch00000090990000001230/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
陕西卫视,https://shyd.695847.xyz/cms001/ch00000090990000001067/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
青海卫视,https://shyd.695847.xyz/cms001/ch00000090990000001082/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
青海卫视,https://shyd.695847.xyz/cms001/ch00000090990000001450/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
风云剧场,https://shyd.695847.xyz/cms001/ch00000090990000001650/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
风云足球,https://shyd.695847.xyz/cms001/ch00000090990000001590/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
风云音乐,https://shyd.695847.xyz/cms001/ch00000090990000001660/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
高尔夫网球,https://shyd.695847.xyz/cms001/ch00000090990000001630/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
黑龙江卫视,https://shyd.695847.xyz/cms001/ch00000090990000001089/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
黑龙江卫视,https://shyd.695847.xyz/cms001/ch00000090990000001031/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
蜀小果,#genre#
CCTV-1 综合,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV-2 财经,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV-3 综艺,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV-4 中文国际,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV-5 体育,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV-5+ 体育赛事,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV-6 电影,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV-7 国防军事,http://8.138.250.123:8888/edge-cache02.live3.omd.sc96655.com/live/CCTV-7H265_4000.m3u8
